Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author,spotify_match_status,spotify_id,spotify_url,spotify_artist_id,spotify_match_artist,spotify_match_album,spotify_release_date,spotify_release_date_precision,spotify_album_type,spotify_total_tracks,spotify_image_url,spotify_upc,spotify_ean,spotify_copyright,spotify_artist_status,spotify_artist_image_url,spotify_artist_url
"May 04, 2026",FENIAN,Kneecap,Hip-Hop/Rap,KNEECAP,"Belfast, UK",Sarah O&#39;Neal,matched,0z5uyAUrflFAnjBR2EhW9J,https://open.spotify.com/album/0z5uyAUrflFAnjBR2EhW9J,1ZVACPeq7ccGCoUXwtafUU,KNEECAP,FENIAN,2026-05-01,day,album,14.0,https://i.scdn.co/image/ab67616d0000b273041959df72c5e828894be6f2,,,,matched,https://i.scdn.co/image/ab6761610000e5eb89e7c69a7d827bcede0f4bad,https://open.spotify.com/artist/1ZVACPeq7ccGCoUXwtafUU
"May 01, 2026",The Horizon Spirals / The Horizon Viral,OOIOO / Lightning Bolt,Alternative,OOIOO,Japan,Erick Bradshaw,no_match,,,,,,,,,,,,,,,,
"April 30, 2026",Bleak Days Ahead,Pure Wrath,Metal,Independent Artist,"West Java, Indonesia",Luke Jackson,matched,7mTjNQomSvzHwdBkPk9047,https://open.spotify.com/album/7mTjNQomSvzHwdBkPk9047,6vZum8DnM81DLwpjHhsJiQ,Pure Wrath,Bleak Days Ahead,2026-04-24,day,album,5.0,https://i.scdn.co/image/ab67616d0000b2735e2e08679ff44a523bdd25ee,,,,matched,https://i.scdn.co/image/ab6761610000e5eb54312bcc0ef6cf07382f2035,https://open.spotify.com/artist/6vZum8DnM81DLwpjHhsJiQ
"April 29, 2026",May a soft sun bless your sky while you wait for the inevitable,Charbel Harber,Classical,Charbel Haber,"Beirut, Lebanon",George Grella,no_match,,,,,,,,,,,,,,,,
"April 28, 2026",Brooklyn Stories 1-5,Ayman Fanous,Experimental,Infrequent Seams,New York,George Grella,no_match,,,,,,,,,,,,,,,,
"April 27, 2026",Orange,White Fence,Alternative,Independent Artist,"Los Angeles, California",Martin Douglas,matched,2ZL2pKtN0WwpKHgOgifsds,https://open.spotify.com/album/2ZL2pKtN0WwpKHgOgifsds,5gH9MJvoI7pN9bohESzYaA,White Fence,Orange,2026-04-24,day,album,11.0,https://i.scdn.co/image/ab67616d0000b27305991fcacb612ce3704e370a,,,,matched,https://i.scdn.co/image/ab6761610000e5ebfaeda9b40273d27971d624b7,https://open.spotify.com/artist/5gH9MJvoI7pN9bohESzYaA
"April 24, 2026",Confession,Carla dal Forno,Alternative,Independent Artist,"Castlemaine, Australia",April Clare Welsh,matched,4YoCbEExp7Zmo6wbcYaR6c,https://open.spotify.com/album/4YoCbEExp7Zmo6wbcYaR6c,6FVxEgfQsGrJ0BogIOYCd6,Carla dal Forno,Confession,2026-04-24,day,album,12.0,https://i.scdn.co/image/ab67616d0000b27363a7f81867496f4bf2802780,,,,matched,https://i.scdn.co/image/ab6761610000e5eb3c0b9b14ba6e8de93c6b3787,https://open.spotify.com/artist/6FVxEgfQsGrJ0BogIOYCd6
"April 23, 2026",Ephemeral & Fleeting: Modular Music of Japan,Various Artists,Ambient,ato.archives,"Tokyo, Japan",Patrick St. Michel,matched,02TJXv9Lznn7AhzzqTU3FY,https://open.spotify.com/album/02TJXv9Lznn7AhzzqTU3FY,0LyfQWJT6nXafLPZqxe9Of,Various Artists,Ephemeral & Fleeting - Modular Music of Japan,2026-04-18,day,compilation,10.0,https://i.scdn.co/image/ab67616d0000b2732a501feb4f68f227032127e0,,,,matched,https://i.scdn.co/image/ab6761610000e5eb6b134287e3095d2c84b7932a,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
"April 22, 2026",Santa Rosa,Fat Ray & Raphy,Hip-Hop/Rap,Fat Ray,"Detroit, Michigan",Martin Douglas,no_match,,,,,,,,,,,,,,,,
"April 21, 2026",Falling In Love Is Wonderful (2026 Remaster),Jimmy Scott,Jazz,Independent Artist,"Las Vegas, Nevada",Britt Robson,matched,4cUGW735OUrDmLSbbwE3Ju,https://open.spotify.com/album/4cUGW735OUrDmLSbbwE3Ju,5T7u5bYO62WTYOk5RBZwjo,Jimmy Scott,Falling In Love Is Wonderful (2026 Remaster),2026-04-17,day,album,10.0,https://i.scdn.co/image/ab67616d0000b2736857bfb63cd386bd26f3ca43,,,,matched,https://i.scdn.co/image/ab6761610000e5eb65de85523a675026e2cff1bb,https://open.spotify.com/artist/5T7u5bYO62WTYOk5RBZwjo
"April 20, 2026",Oknha Stamina,Neo Geodesia,World,CHINABOT,"London, UK",Matthew Blackwell,matched,0Qogu17pPPYa1tECWfiyLe,https://open.spotify.com/album/0Qogu17pPPYa1tECWfiyLe,2H2R2at4JjzGQztgurXLx6,Neo Geodesia,Oknha Stamina,2026-04-14,day,album,12.0,https://i.scdn.co/image/ab67616d0000b27329c3c180272e2a3d5d719aeb,,,,matched,https://i.scdn.co/image/ab67616d0000b27329c3c180272e2a3d5d719aeb,https://open.spotify.com/artist/2H2R2at4JjzGQztgurXLx6
"April 17, 2026",Diamond Cutter,Eve Maret,Electronic,Independent Artist,"Nashville, Tennessee",Will Ainsley,matched,4wWXFt6uEcJfX3ppPbl4CZ,https://open.spotify.com/album/4wWXFt6uEcJfX3ppPbl4CZ,6EPKhshyGfzUrurBHGJAnA,Eve Maret,Diamond Cutter,2026-04-17,day,album,12.0,https://i.scdn.co/image/ab67616d0000b2735463fe8ee75812783de72d96,,,,matched,https://i.scdn.co/image/ab6761610000e5eb7aaf8c8a1c3e8ddb28bc2323,https://open.spotify.com/artist/6EPKhshyGfzUrurBHGJAnA
"April 16, 2026","A Certain Smile, A Certain Sadness (30th Anniversary Edition)",Rocketship,Alternative,Independent Artist,"Portland, Oregon",Hayden Merrick,no_match,,,,,,,,,,,,,,,,
"April 15, 2026",Hannah Lew,Hannah Lew,Alternative,Independent Artist,"Richmond, California",Jennifer Kelly,matched,3VS2ynZeyCbzkM4N616Jkw,https://open.spotify.com/album/3VS2ynZeyCbzkM4N616Jkw,40ZrXbMB5FFIxtzatM8Wol,Hannah Lew,Hannah Lew,2026-04-10,day,album,9.0,https://i.scdn.co/image/ab67616d0000b2739bf345fe8e0947765571e8fa,,,,matched,https://i.scdn.co/image/ab6761610000e5ebacfcba6f97c020eb5ad1d14e,https://open.spotify.com/artist/40ZrXbMB5FFIxtzatM8Wol
"April 14, 2026",Incorregible,Rosa Pistola,Electronic,ROSA PISTOLA,Mexico,Maria Barrios,matched,7LxxNa3h2EGW6m0TlGnnlh,https://open.spotify.com/album/7LxxNa3h2EGW6m0TlGnnlh,06fEHseCklFEuDgM5dccHX,Rosa Pistola,Incorregible,2026-04-10,day,album,8.0,https://i.scdn.co/image/ab67616d0000b273f302f0252dd18dbc9350ac78,,,,matched,https://i.scdn.co/image/ab6761610000e5ebf02d5d7b5f567334ddd309ba,https://open.spotify.com/artist/06fEHseCklFEuDgM5dccHX
"April 13, 2026",Softest Attack,Prism Shores,Alternative,Independent Artist,"Montreal, Québec",Ben Salmon,matched,51uYxZpz3l8pJpE3fPGYb5,https://open.spotify.com/album/51uYxZpz3l8pJpE3fPGYb5,6GAOVXekIJiv2MWeCBQoEk,Prism Shores,Softest Attack,2026-04-10,day,album,12.0,https://i.scdn.co/image/ab67616d0000b2739d2b6d773f676845a1df2b2f,,,,matched,https://i.scdn.co/image/ab6761610000e5ebd550c0617705d86c9c917e45,https://open.spotify.com/artist/6GAOVXekIJiv2MWeCBQoEk
"April 10, 2026",Evergreen In Your Mind,Juni Habel,Acoustic,Independent Artist,"Viken, Norway",Brad Sanders,matched,2bwZckPIXlpLmPCrs83RK2,https://open.spotify.com/album/2bwZckPIXlpLmPCrs83RK2,2Kn9TqqVY8YLi0ijUAAQqZ,Juni Habel,Evergreen In Your Mind,2026-04-10,day,album,11.0,https://i.scdn.co/image/ab67616d0000b273e37cdcaac8413bbf674da40a,,,,matched,https://i.scdn.co/image/ab6761610000e5ebd9b3e55277bfb7f50d1fd2b2,https://open.spotify.com/artist/2Kn9TqqVY8YLi0ijUAAQqZ
"April 09, 2026",Lero Lero,Lero Lero,World,Black Sweat Records,Italy,Megan Iacobini de Fazio,matched,3Dt0Mw4z15vUkvhMeZpl4v,https://open.spotify.com/album/3Dt0Mw4z15vUkvhMeZpl4v,2RMnMjVu2KaWFor2O7ntjo,Lero Lero,Lero Lero (Temporada 1),2023-03-24,day,album,12.0,https://i.scdn.co/image/ab67616d0000b273a9ec475fadc9694db3146bbf,,,,matched,https://i.scdn.co/image/ab6761610000e5eb78e488542622449bc7342d1d,https://open.spotify.com/artist/2RMnMjVu2KaWFor2O7ntjo
"April 08, 2026",Glass and Bones,Makthaverskan,Punk,Independent Artist,"Gothenburg, Sweden",Elle Carroll,matched,2TBOgMEKprOm6aJ8sKKp0O,https://open.spotify.com/album/2TBOgMEKprOm6aJ8sKKp0O,57MIstrTi3Sw9J9yJybN0E,Makthaverskan,Glass and Bones,2026-04-03,day,album,10.0,https://i.scdn.co/image/ab67616d0000b273bde039ed52aa4f39276c5360,,,,matched,https://i.scdn.co/image/ab6761610000e5eb935691a25175904a2dfd9140,https://open.spotify.com/artist/57MIstrTi3Sw9J9yJybN0E
"April 07, 2026",It Wasn’t Nothing,Scissor Fits,Punk,Independent Artist,"Hounslow, UK",Erick Bradshaw,no_match,,,,,,,,,,,,,,,,
"April 06, 2026",Solid Static,Musica Transonic + Mainliner,Rock,Independent Artist,"Tokyo, Japan",Jim Allen,no_match,,,,,,,,,,,,,,,,
"April 03, 2026","MIKE & SURF GANG, POMPEII // UTILITY",Earl Sweatshirt,Hip-Hop/Rap,MIKE,"New York, New York",Martin Douglas,no_match,,,,,,,,,,,,,,,,
"April 02, 2026","Connecters Volume 1: Original Recordings, 1992–1999",Larrison,Experimental,Freedom To Spend,"New York, New York",Matthew Blackwell,no_match,,,,,,,,,,,,,,,,
"April 01, 2026",Two Wheels Move the Soul,Robber Robber,Rock,Independent Artist,"Burlington, Vermont",Stuart Berman,matched,3H4iX1m8kNm12NV2oijGcu,https://open.spotify.com/album/3H4iX1m8kNm12NV2oijGcu,7kXZ3iTr0blml9QgUdfwGM,Robber Robber,Two Wheels Move the Soul,2026-04-03,day,album,11.0,https://i.scdn.co/image/ab67616d0000b273dd66bfcfe441b70d11323f31,,,,matched,https://i.scdn.co/image/ab6761610000e5eb4fd35509d60e67ae74e680d2,https://open.spotify.com/artist/7kXZ3iTr0blml9QgUdfwGM
"March 31, 2026","Fight The Fire: Digital Reggae, Conscious Roots and Dub in Nigeria 1986–91",Various Artists,Reggae,Soundway Records,UK,Dean Van Nguyen,matched,0UuVjito6mVSX4LhvhW79k,https://open.spotify.com/album/0UuVjito6mVSX4LhvhW79k,0LyfQWJT6nXafLPZqxe9Of,Various Artists,"Fight The Fire: Digital Reggae, Conscious Roots and Dub in Nigeria 1986-91",2026-03-27,day,compilation,14.0,https://i.scdn.co/image/ab67616d0000b273a4214de94160a2b90ec5319c,,,,matched,https://i.scdn.co/image/ab6761610000e5eb6b134287e3095d2c84b7932a,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
"March 30, 2026",High Cube,Foote/Dickow,Electronic,Independent Artist,"Los Angeles, California",April Clare Welsh,matched,3gKZgYB3Apxc56wZOvhwgf,https://open.spotify.com/album/3gKZgYB3Apxc56wZOvhwgf,0BpYawSPlRoA9XOI11o7uH,Foote/Dickow,High Cube,2026-03-27,day,album,6.0,https://i.scdn.co/image/ab67616d0000b273e4e50f5c2174fa722c5fc0d2,,,,matched,https://i.scdn.co/image/ab6761610000e5ebbf5caad2d28c86e8e3deb7b5,https://open.spotify.com/artist/0BpYawSPlRoA9XOI11o7uH
"March 27, 2026",Path of Totality,The Montvales,Country,Independent Artist,"Knoxville, Tennessee",Ben Salmon,matched,5ddiLaQiyk3ckn5UPgsV1e,https://open.spotify.com/album/5ddiLaQiyk3ckn5UPgsV1e,0FYazSWo7TGjPJz0Jz4O9t,The Montvales,Path of Totality,2026-03-20,day,album,12.0,https://i.scdn.co/image/ab67616d0000b2734c745d2687e669848c35608b,,,,matched,https://i.scdn.co/image/ab6761610000e5eb431b14624697db3be8b8498d,https://open.spotify.com/artist/0FYazSWo7TGjPJz0Jz4O9t
"March 26, 2026",Emeralds,Parlor Greens,Funk,Independent Artist,"Loveland, Ohio",Blake Gillespie,matched,0TQ53KlvXXWgD5hv0Ul9Bo,https://open.spotify.com/album/0TQ53KlvXXWgD5hv0Ul9Bo,4c6oXo4PWpSqSnuLqFUxLm,Parlor Greens,Emeralds,2026-04-10,day,album,11.0,https://i.scdn.co/image/ab67616d0000b273bb5f82236247a1264cf18132,,,,matched,https://i.scdn.co/image/ab6761610000e5ebf31abbfc0cafdd49c08fa7cb,https://open.spotify.com/artist/4c6oXo4PWpSqSnuLqFUxLm
"March 25, 2026",Optimizer,Stuck,Alternative,Independent Artist,"Chicago, Illinois",Zara Hedderman,matched,6DH6Tz9pzAvqGT6pfEIVPw,https://open.spotify.com/album/6DH6Tz9pzAvqGT6pfEIVPw,26NBM9MmocuhYDY4flth3a,Stuck,Optimizer,2026-03-27,day,album,10.0,https://i.scdn.co/image/ab67616d0000b273de40881c60600e18472c81c0,,,,matched,https://i.scdn.co/image/ab6761610000e5eb20afd32a105e42f0379ab442,https://open.spotify.com/artist/26NBM9MmocuhYDY4flth3a
"March 24, 2026",Brilliance of a Falling Moon,dälek,Hip-Hop/Rap,Dälek,"Union City, New Jersey",Jon Buckland,matched,59N2SbtjEXxtgoUAMQQp8w,https://open.spotify.com/album/59N2SbtjEXxtgoUAMQQp8w,1zDrsLJJfYel0jJruLe4Yp,dälek,Brilliance of a Falling Moon,2026-03-27,day,album,8.0,https://i.scdn.co/image/ab67616d0000b2733b09b7c1bd8508a2b41831d0,,,,matched,https://i.scdn.co/image/ab6761610000e5eb8011c9d186bdc242512a8654,https://open.spotify.com/artist/1zDrsLJJfYel0jJruLe4Yp
"March 20, 2026",in filth your mystery is kingdom / far smile peasant in yellow music,Dagmar Zuniga,Experimental,dagmar zuniga,"New York, New York",Matthew Blackwell,matched,5x7MhNPVEZeicFl5I8u1OO,https://open.spotify.com/album/5x7MhNPVEZeicFl5I8u1OO,59ZW99eqMF7Iv6QayaCD3Q,Dagmar Zuniga,in filth your mystery is kingdom / far smile peasant in yellow music,2026-03-04,day,album,14.0,https://i.scdn.co/image/ab67616d0000b273031e28ef249d685cf1c6ca0c,,,,matched,https://i.scdn.co/image/ab6761610000e5eb3d2a985ea24401fd33ac26b7,https://open.spotify.com/artist/59ZW99eqMF7Iv6QayaCD3Q
"March 19, 2026",Breaking the Catatonic State,Crouch,Metal,Independent Artist,Belgium,Luke Jackson,matched,32IFiqGDJKCGEnrMDzCeQJ,https://open.spotify.com/album/32IFiqGDJKCGEnrMDzCeQJ,3c0euuPkwljoPa188SKyBf,Crouch,Breaking the Catatonic State,2026-03-20,day,album,10.0,https://i.scdn.co/image/ab67616d0000b273b5186233e9de4b78d6597657,,,,matched,https://i.scdn.co/image/ab6761610000e5ebd3f975eb58ce89970a88c89f,https://open.spotify.com/artist/3c0euuPkwljoPa188SKyBf
"March 18, 2026",Blumenfantasie,Xylitol,Electronic,Independent Artist,UK,Joe Muggs,matched,10nHSPjnaJXh4SB89xVAjU,https://open.spotify.com/album/10nHSPjnaJXh4SB89xVAjU,4m6lKZU5qS7ZIPFhYx5bEx,Xylitol,Blumenfantasie,2026-03-20,day,album,10.0,https://i.scdn.co/image/ab67616d0000b2737ab98920927a3307f63560f7,,,,matched,https://i.scdn.co/image/ab6761610000e5eb4879f41dcd8b412911a7e54a,https://open.spotify.com/artist/4m6lKZU5qS7ZIPFhYx5bEx
"March 17, 2026",Comfortably Suffering,Duncecap & Samurai Banana,Hip-Hop/Rap,Duncecap,"Queens, New York",Martin Douglas,no_match,,,,,,,,,,,,,,,,
"March 16, 2026",Transmitter,Cut Worms,Alternative,Independent Artist,"Brooklyn, New York",Harry Levin,matched,0E0ELU3LQuzcAt5NhrSTh4,https://open.spotify.com/album/0E0ELU3LQuzcAt5NhrSTh4,2upjmNmngAXZcra9dQRR2l,Cut Worms,Transmitter,2026-03-13,day,album,10.0,https://i.scdn.co/image/ab67616d0000b27328368ff62151d3007747040b,,,,matched,https://i.scdn.co/image/ab6761610000e5eb1ad05efed0a2881448e035b7,https://open.spotify.com/artist/2upjmNmngAXZcra9dQRR2l
"March 13, 2026",Hard Hearted Woman,Ora Cogan,Alternative,Independent Artist,,Jim Allen,matched,1r3wE07afZnLGbikNXDt3X,https://open.spotify.com/album/1r3wE07afZnLGbikNXDt3X,0zZHy0tQvwi4L5HNvNq0QY,Ora Cogan,Hard Hearted Woman,2026-03-13,day,album,10.0,https://i.scdn.co/image/ab67616d0000b2730287a613292f5b1dd49ee333,,,,matched,https://i.scdn.co/image/ab6761610000e5ebf544384b663b07dd66e17423,https://open.spotify.com/artist/0zZHy0tQvwi4L5HNvNq0QY
"March 12, 2026",Weimar,Mary Ocher,Alternative,Independent Artist,"Berlin, Germany",April Clare Welsh,matched,3DzDJCnUNao9sAMLYTmzeu,https://open.spotify.com/album/3DzDJCnUNao9sAMLYTmzeu,0ODkbaLvCCScReZQK3NVxr,Mary Ocher,Weimar,2026-03-13,day,album,8.0,https://i.scdn.co/image/ab67616d0000b27339b6c919dbe60305a72d73d3,,,,matched,https://i.scdn.co/image/ab6761610000e5ebb7a93bbc60a0954473fb53ac,https://open.spotify.com/artist/0ODkbaLvCCScReZQK3NVxr
"March 11, 2026",Music in Continuous Motion,Bill Orcutt,Experimental,Independent Artist,"San Francisco, California",Jennifer Kelly,matched,0HwKpolq77HN9P0IwCCgnk,https://open.spotify.com/album/0HwKpolq77HN9P0IwCCgnk,49ECnwhYzm6Nu97puMvwjG,Bill Orcutt,Music in Continuous Motion,2026-03-13,day,album,12.0,https://i.scdn.co/image/ab67616d0000b27389bf0a9fa602df4ecc065dc8,,,,matched,https://i.scdn.co/image/255b292e9e51364e23d1fb4cf71f7ce52f77cbfb,https://open.spotify.com/artist/49ECnwhYzm6Nu97puMvwjG
"March 10, 2026",News from Planet Zombie,The Notwist,Experimental,Independent Artist,Germany,Jim Allen,matched,500dbsD4ygekfJEpCCiO07,https://open.spotify.com/album/500dbsD4ygekfJEpCCiO07,1o4xLcugkCtDDOw7POAMha,The Notwist,News from Planet Zombie,2026-03-13,day,album,11.0,https://i.scdn.co/image/ab67616d0000b273fc6d429da0ec4e3408753bed,,,,matched,https://i.scdn.co/image/ab6761610000e5eb098a93875a0e7e6781c3bccd,https://open.spotify.com/artist/1o4xLcugkCtDDOw7POAMha
"March 09, 2026",Albini Sessions,Fugazi,Punk,Independent Artist,"Washington, D.C.",Erick Bradshaw,no_match,,,,,,,,,,,,,,,,
"March 06, 2026",HELP(2),Various Artists,Alternative,War Child Records,UK,Jude Noel,matched,1k5qdBw12xtQhSitPrpZKP,https://open.spotify.com/album/1k5qdBw12xtQhSitPrpZKP,0LyfQWJT6nXafLPZqxe9Of,Various Artists,Help Imagination Selections 2022,2022-04-04,day,compilation,49.0,https://i.scdn.co/image/ab67616d0000b27383fce2ae438df130c6dbe588,,,,matched,https://i.scdn.co/image/ab6761610000e5eb6b134287e3095d2c84b7932a,https://open.spotify.com/artist/0LyfQWJT6nXafLPZqxe9Of
"March 05, 2026",Of The Earth,Shabaka,Jazz,Independent Artist,UK,Will Ainsley,matched,1WLCmU6lTy0OqC1ALX4wfJ,https://open.spotify.com/album/1WLCmU6lTy0OqC1ALX4wfJ,6ywMpa6AmGJpV5Sbyy58Js,Shabaka,Of The Earth,2026-03-06,day,album,12.0,https://i.scdn.co/image/ab67616d0000b2733749e2bc1df65e94b952b711,,,,matched,https://i.scdn.co/image/ab6761610000e5eb33331998b6facb1b2e44e781,https://open.spotify.com/artist/6ywMpa6AmGJpV5Sbyy58Js
"March 04, 2026",Sirenoscape,NIMF,Experimental,Independent Artist,"Dublin, Ireland",Harry Levin,matched,6twodPRISzXKRY2nNaD5Ar,https://open.spotify.com/album/6twodPRISzXKRY2nNaD5Ar,7onykSIfRCyijzLC1sVz9v,NIMF,Sirenoscape,2026-03-06,day,album,4.0,https://i.scdn.co/image/ab67616d0000b2733c34c32f139371463ec4bb89,,,,matched,https://i.scdn.co/image/ab6761610000e5eb55603e5ba245ee181f736bb8,https://open.spotify.com/artist/7onykSIfRCyijzLC1sVz9v
