Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author
"May 01, 2026",The Horizon Spirals / The Horizon Viral,OOIOO / Lightning Bolt,Alternative,OOIOO,Japan,Erick Bradshaw
"April 30, 2026",Bleak Days Ahead,Pure Wrath,Metal,Independent Artist,"West Java, Indonesia",Luke Jackson
"April 29, 2026",May a soft sun bless your sky while you wait for the inevitable,Charbel Harber,Classical,Charbel Haber,"Beirut, Lebanon",George Grella
"April 28, 2026",Brooklyn Stories 1-5,Ayman Fanous,Experimental,Infrequent Seams,New York,George Grella
"April 27, 2026",Orange,White Fence,Alternative,Independent Artist,"Los Angeles, California",Martin Douglas
"April 24, 2026",Confession,Carla dal Forno,Alternative,Independent Artist,"Castlemaine, Australia",April Clare Welsh
"April 23, 2026",Ephemeral & Fleeting: Modular Music of Japan,Various Artists,Ambient,ato.archives,"Tokyo, Japan",Patrick St. Michel
"April 22, 2026",Santa Rosa,Fat Ray & Raphy,Hip-Hop/Rap,Fat Ray,"Detroit, Michigan",Martin Douglas
"April 21, 2026",Falling In Love Is Wonderful (2026 Remaster),Jimmy Scott,Jazz,Independent Artist,"Las Vegas, Nevada",Britt Robson
"April 20, 2026",Oknha Stamina,Neo Geodesia,World,CHINABOT,"London, UK",Matthew Blackwell
"April 17, 2026",Diamond Cutter,Eve Maret,Electronic,Independent Artist,"Nashville, Tennessee",Will Ainsley
"April 16, 2026","A Certain Smile, A Certain Sadness (30th Anniversary Edition)",Rocketship,Alternative,Independent Artist,"Portland, Oregon",Hayden Merrick
"April 15, 2026",Hannah Lew,Hannah Lew,Alternative,Independent Artist,"Richmond, California",Jennifer Kelly
"April 14, 2026",Incorregible,Rosa Pistola,Electronic,ROSA PISTOLA,Mexico,Maria Barrios
"April 13, 2026",Softest Attack,Prism Shores,Alternative,Independent Artist,"Montreal, Québec",Ben Salmon
"April 10, 2026",Evergreen In Your Mind,Juni Habel,Acoustic,Independent Artist,"Viken, Norway",Brad Sanders
"April 09, 2026",Lero Lero,Lero Lero,World,Black Sweat Records,Italy,Megan Iacobini de Fazio
"April 08, 2026",Glass and Bones,Makthaverskan,Punk,Independent Artist,"Gothenburg, Sweden",Elle Carroll
"April 07, 2026",It Wasn’t Nothing,Scissor Fits,Punk,Independent Artist,"Hounslow, UK",Erick Bradshaw
"April 06, 2026",Solid Static,Musica Transonic + Mainliner,Rock,Independent Artist,"Tokyo, Japan",Jim Allen
"April 03, 2026","MIKE & SURF GANG, POMPEII // UTILITY",Earl Sweatshirt,Hip-Hop/Rap,MIKE,"New York, New York",Martin Douglas
"April 02, 2026","Connecters Volume 1: Original Recordings, 1992–1999",Larrison,Experimental,Freedom To Spend,"New York, New York",Matthew Blackwell
"April 01, 2026",Two Wheels Move the Soul,Robber Robber,Rock,Independent Artist,"Burlington, Vermont",Stuart Berman
"March 31, 2026","Fight The Fire: Digital Reggae, Conscious Roots and Dub in Nigeria 1986–91",Various Artists,Reggae,Soundway Records,UK,Dean Van Nguyen
"March 30, 2026",High Cube,Foote/Dickow,Electronic,Independent Artist,"Los Angeles, California",April Clare Welsh
"March 27, 2026",Path of Totality,The Montvales,Country,Independent Artist,"Knoxville, Tennessee",Ben Salmon
"March 26, 2026",Emeralds,Parlor Greens,Funk,Independent Artist,"Loveland, Ohio",Blake Gillespie
"March 25, 2026",Optimizer,Stuck,Alternative,Independent Artist,"Chicago, Illinois",Zara Hedderman
"March 24, 2026",Brilliance of a Falling Moon,dälek,Hip-Hop/Rap,Dälek,"Union City, New Jersey",Jon Buckland
"March 20, 2026",in filth your mystery is kingdom / far smile peasant in yellow music,Dagmar Zuniga,Experimental,dagmar zuniga,"New York, New York",Matthew Blackwell
"March 19, 2026",Breaking the Catatonic State,Crouch,Metal,Independent Artist,Belgium,Luke Jackson
"March 18, 2026",Blumenfantasie,Xylitol,Electronic,Independent Artist,UK,Joe Muggs
"March 17, 2026",Comfortably Suffering,Duncecap & Samurai Banana,Hip-Hop/Rap,Duncecap,"Queens, New York",Martin Douglas
"March 16, 2026",Transmitter,Cut Worms,Alternative,Independent Artist,"Brooklyn, New York",Harry Levin
"March 13, 2026",Hard Hearted Woman,Ora Cogan,Alternative,Independent Artist,NA,Jim Allen
"March 12, 2026",Weimar,Mary Ocher,Alternative,Independent Artist,"Berlin, Germany",April Clare Welsh
"March 11, 2026",Music in Continuous Motion,Bill Orcutt,Experimental,Independent Artist,"San Francisco, California",Jennifer Kelly
"March 10, 2026",News from Planet Zombie,The Notwist,Experimental,Independent Artist,Germany,Jim Allen
"March 09, 2026",Albini Sessions,Fugazi,Punk,Independent Artist,"Washington, D.C.",Erick Bradshaw
"March 06, 2026",HELP(2),Various Artists,Alternative,War Child Records,UK,Jude Noel
"March 05, 2026",Of The Earth,Shabaka,Jazz,Independent Artist,UK,Will Ainsley
"March 04, 2026",Sirenoscape,NIMF,Experimental,Independent Artist,"Dublin, Ireland",Harry Levin
"March 03, 2026",Overspace & Supertime,Cryptic Shift,Metal,Independent Artist,"Leeds, UK",Brad Sanders
"March 02, 2026",My Days of 58,Bill Callahan,Folk,Independent Artist,"Austin, Texas",Jim Allen
"February 27, 2026",Prove The Mountains Move,EXEK,Alternative,Independent Artist,"Melbourne, Australia",Erick Bradshaw
"February 26, 2026",Sí aquí llegó ya,El Gran Grupo,Latin,Independent Artist,"Caracas, Venezuela",Maria Barrios
"February 25, 2026",My World is the Sun,Dominique Fils-Aimé,R&amp;B/Soul,Independent Artist,"Montreal, Québec",Ben Salmon
"February 24, 2026",OTONOMA,Midori Hirano,Electronic,Independent Artist,"Berlin, Germany",George Grella
"February 23, 2026",Too Late to Start Following the Rules Now,Chris Crack,Hip-Hop/Rap,Independent Artist,"Grand Junction, Colorado",Dylan Green
"February 20, 2026",DISCOMBOBULATED,Hen Ogledd,Electronic,Independent Artist,"Newcastle Upon Tyne, UK",Jennifer Kelly
"February 19, 2026",Paper Masks,Phew and Danielle de Picciotto,,Phew,"Tokyo, Japan",Erick Bradshaw
"February 18, 2026",Instant Comfort,Lucid Express,Rock,Independent Artist,Hong Kong,Josh Feola
"February 17, 2026",Kin,KMRU,Ambient,Independent Artist,"Nairobi, Kenya",April Clare Welsh
"February 13, 2026",Necropalace,Worm,Metal,Independent Artist,Florida,Luke Jackson
"February 12, 2026",Mastery Quantum Sound,Various Artists,Ambient,Houndstooth,"London, UK",Sam Davies
"February 11, 2026",respite ∞ levity for the nameless ghost in crisis (Expanded),Colin Self,Experimental,Independent Artist,New York,April Clare Welsh
"February 10, 2026",Laughter In Summer,Beverly Glenn-Copeland,Electronic,Independent Artist,"Hamilton, Ontario",Ted Davis
"February 09, 2026",DOUBLE-WIDE,Charles “Poppy Bob” Walker,Ambient,Charles &#39;Poppy Bob&#39; Walker,"Yuma, Arizona",Jennifer Kelly
"February 06, 2026",Butterfly,Daphni,Electronic,Caribou,"London, UK",Joe Muggs
"February 05, 2026",Noor,Yamila,Electronic,Umor Rex,"Mexico City, Mexico",Peter Margasak
"February 04, 2026",Tilaye’s Saxophone With The Dahlak Band (የጥላዬ ሳክስ ከዳህላክ ባንድ ጋር),Tilaye Gebre,World,Independent Artist,"Addis Ababa, Ethiopia",Dean Van Nguyen
"February 03, 2026",EXPO,Ulrika Spacek,Alternative,Independent Artist,"London, UK",Elle Carroll
"February 02, 2026",Wahj,Toni Geitani,Ambient,Independent Artist,"Beirut, Lebanon",Matthew Blackwell
"January 31, 2026",Maybe You Should Talk To Someone,Haruhi Kobayashi,Classical,Independent Artist,"Chicago, Illinois",George Grella
"January 29, 2026",Not Here Not Gone,Blackwater Holylight,Metal,Independent Artist,"Portland, Oregon",Grayson Haver Currin
"January 28, 2026","low clouds hang, this land is on fire",Tashi Dorji,Alternative,Independent Artist,"Asheville, North Carolina",Mike McGrath-Bryan
"January 27, 2026",Yatta!,YĪN YĪN,Alternative,Independent Artist,"Maastricht, Netherlands",Dean Van Nguyen
"January 26, 2026",Euphoria Bound,Shackleton,Electronic,Independent Artist,"Berlin, Germany",Lewis Gordon
"January 23, 2026",Mutudi Ua Ufolo / Viuva Da Liberdade 1975,David Zé,World,David Ze,"Luanda, Angola",Dean Van Nguyen
"January 22, 2026",Desert So Green,Winged Wheel,Rock,Winged Wheel,"Detroit, Michigan",Stuart Berman
"January 21, 2026",Come Out Come Out (30th Anniversary Edition),Cub,Alternative,cub,"Vancouver, British Columbia",Jude Noel
"January 20, 2026",A-Rhythm Absolute,Sunday Mourners,Alternative,Independent Artist,"Los Angeles, California",Elle Carroll
"January 16, 2026",Appalachia,Emily Scott Robinson,Country,Independent Artist,"Nashville, Tennessee",Ben Salmon
"January 15, 2026",Xiu Mutha F—in’ Xiu: Vol. 1,Xiu Xiu,Alternative,Independent Artist,"Los Angeles, California",Jon Buckland
"January 14, 2026",WABI SABI,Sotomayor,Electronic,Independent Artist,"Mexico City, Mexico",Matthew Ismael Ruiz
"December 05, 2025",Ethereal Horizons,Blut Aus Nord,Metal,Independent Artist,France,Brad Sanders
"December 04, 2025",SAD,Ikonika,Electronic,Independent Artist,"London, UK",April Clare Welsh
"December 03, 2025",Late Shift Silk,Various Artists,Electronic,100% Silk,California,Harry Levin
"December 02, 2025",Putcha Weight On It,Von Pea & The Other Guys,Hip-Hop/Rap,Von Pea,New York,Dash Lewis
"December 01, 2025",Ghana Special: Highlife,Various Artists,World,Soundway Records,UK,Dean Van Nguyen
"November 26, 2025",BANG,Iona Zajac,Alternative,Independent Artist,"Glasgow, UK",Brad Sanders
"November 25, 2025",Songs From My Castle Tower,MJ Noble,Electronic,Independent Artist,"Los Angeles, California",Ted Davis
"November 24, 2025",سماع [Sama’a] (Audition),أحمد [Ahmed],Jazz,Independent Artist,NA,Jinhyung Kim
"November 21, 2025",Implosion,The Bug vs Ghost Dubs,Electronic,Independent Artist,"Brussels, Belgium",Erick Bradshaw
"November 20, 2025",Southside Mixtape,DJ Lag,Electronic,Independent Artist,"Johannesburg, South Africa",Joseph Francis
"November 19, 2025",Blue Abstraction: Prepared Piano Project 1985–1987,Jessica Williams,Jazz,Pre-Echo Press,"New York, New York",George Grella
"November 18, 2025",PAUL KIDNEY JAPANESE EXPERIENCE,Paul Kidney Experience,Experimental,Independent Artist,"Melbourne, Australia",Jon Dale
"November 17, 2025",Panorama,Hélène Barbier,Pop,Independent Artist,"Montreal, Québec",Matt Watton
"November 14, 2025",Basic Country Mustard,Red River Dialect,Folk,Independent Artist,"London, UK",Jennifer Kelly
"November 13, 2025",Fire of God’s Love,Sister Irene O’Connor,Devotional,Freedom To Spend,"New York, New York",Matthew Blackwell
"November 12, 2025",Faith In The Unknown,Shungu,Hip-Hop/Rap,Independent Artist,"Brussels, Belgium",Dash Lewis
"November 11, 2025",How You Been,SML,Jazz,International Anthem,"Chicago, Illinois",Will Ainsley
"November 10, 2025",Chigiyo Music Kings 1987–1998,Zig-Zag Band,World,Analog Africa,Germany,Dean Van Nguyen
"November 07, 2025",AFTER,yaz lancaster,Electronic,Independent Artist,"New York, New York",George Grella
"November 06, 2025",Batakari,Ata Kak,World,Independent Artist,Ghana,Marshall Gu
"November 05, 2025",31 Days of Burning Limos,The Burning Limos,Punk,Independent Artist,"Indianapolis, Indiana",Sims Hardin
"November 04, 2025",Paradís,Júlia Colom,Pop,Independent Artist,"IB, Spain",Maria Barrios
"November 03, 2025",InitiatriX,Ship Sket,Electronic,Independent Artist,UK,April Clare Welsh
"October 31, 2025",Eroica II: Christian Nihilism,Chino Amobi,Hip-Hop/Rap,Drowned By Locals,"Amman, Jordan",Dylan Green
"October 30, 2025",The Night Has Eyes,The Spells,Alternative,Independent Artist,"New York, New York",Stuart Berman
"October 29, 2025","Techno Logic, The People’s Mixtape, Hidden Out, and PopUp Shop",Makaya McCraven,Jazz,International Anthem,"Chicago, Illinois",Peter Margasak
"October 28, 2025",Ajomasé,Gasper Lawal,World,Strut,"London, UK",Dean Van Nguyen
"October 27, 2025",Just Wanna Live Some,Perera Elsewhere,Alternative,Independent Artist,"Berlin, Germany",Christian Askin
"October 24, 2025",Tehrangeles Vice (Iranian Diaspora Pop 1983-1993),Various Artists,Pop,Discotchari,"Los Angeles, California",Megan Iacobini de Fazio
"October 23, 2025",8 Automated Works,Componium Ensemble,Electronic,EM Records,"Osaka Prefecture, Japan",Lewis Gordon
"October 22, 2025",Hard Ware,Patrick Cowley,Electronic,Independent Artist,"San Francisco, California",Will Ainsley
"October 21, 2025",THE BPM,Sudan Archives,Pop,Independent Artist,"Los Angeles, California",Carrie McClure
"October 20, 2025",Amasia: Anamibia Sessions 2,Melvin Gibbs,Jazz,Independent Artist,"Brooklyn, New York",George Grella
"October 17, 2025",Latincore Legend,CRRDR,Latin,Independent Artist,"Bogota, Colombia",Christian Askin
"October 16, 2025",On the Run,Shutaro Noguchi & the Roadhouse Band,Pop,Sophomore Lounge,"Jeffersonville, Indiana",Patrick St. Michel
"October 15, 2025",Brigitte Fontaine Est Folle: Special Edition,Brigitte Fontaine,World,WEWANTSOUNDS,"Paris, France",Jim Allen
"October 14, 2025",Scarecrow II,The Telephone Numbers,Alternative,Independent Artist,"San Francisco, California",Ben Salmon
"October 13, 2025",SCALD,Macy Rodman,Pop,Independent Artist,"New York, New York",Jude Noel
"October 10, 2025",The Beep Test,God Alone.,Punk,Independent Artist,"Cork, Ireland",Spencer Hughes
"October 09, 2025",Uncrossing the Keys,Wode,Metal,Independent Artist,"Manchester, UK",Grayson Haver Currin
"October 08, 2025",Elusive,Potential Badboy,Reggae,Official Potential Badboy,"London, UK",Dean Van Nguyen
"October 07, 2025",Out The Way,Marta & Tricky,Alternative,Tricky  // False Idols,"Berlin, Germany",Joe Muggs
"October 06, 2025",Sidenote,Joker Starr,Hip-Hop/Rap,Boot Records,UK,Dash Lewis
"October 03, 2025",Root Echoes,DJ Babatr,Electronic,HAKUNA KULALA,"Kampala, Uganda",Joseph Francis
"October 02, 2025",Worldwide,Snooper,Punk,Independent Artist,"Nashville, Tennessee",Spencer Hughes
"October 01, 2025","The Golden Voice of Phnom Penh, 1962–1974",So Savoeun,World,Akuphone,France,Elle Carroll
"September 30, 2025",Turning Yr Back on the Dolphin,Palm Springs,Alternative,Independent Artist,"Melbourne, Australia",Jennifer Kelly
"September 29, 2025",Neon Grey Midnight Green,Neko Case,Alternative,Independent Artist,"Seattle, Washington",Jennifer Kelly
"September 26, 2025",A Piece of Infinity,Meklit,World,Independent Artist,"San Francisco, California",Dean Van Nguyen
"September 25, 2025",Surfing On Sine Waves (Expanded Edition),Aphex Twin,Electronic,Independent Artist,UK,April Clare Welsh
"September 24, 2025",History of Silence,múm,Electronic,Independent Artist,Iceland,JR Moores
"September 23, 2025",The Bestiary,Castle Rat,Metal,Independent Artist,"Brooklyn, New York",Brad Sanders
"September 22, 2025",Warsaw 480km,pôt-pot,Alternative,Independent Artist,NA,Collin Smith
"September 19, 2025",Level-Headed Even Smile,Dylan Earl,Country,Independent Artist,"Fayetteville, Arkansas",Brad Sanders
"September 18, 2025",I Remember I Forget بنسى وبتذكر,Yasmine Hamdan,Electronic,Independent Artist,"Beirut, Lebanon",Sarah O&#39;Neal
"September 17, 2025",Sasquatch Landslide,The Dwarfs Of East Agouza,Experimental,Constellation Records,"Montreal, Québec",Jon Dale
"September 16, 2025",Exinfinite,Venera,Experimental,Independent Artist,"Los Angeles, California",Ted Davis
"September 15, 2025",SWEET TOOTH,Halima,Pop,Independent Artist,"New York, New York",April Clare Welsh
"September 12, 2025",Broken Homes and Gardens,Michael Hurley,Folk,Independent Artist,"Astoria, Oregon",Jim Allen
"September 11, 2025",Body Lapse,Rian Treanor & Cara Tolmie,Electronic,Rian Treanor,"Rotherham, UK",April Clare Welsh
"September 10, 2025",A Danger to Ourselves,Lucrecia Dalt,Electronic,Independent Artist,NA,James Gui
"September 09, 2025",Throwing Shapes,Throwing Shapes,Ambient,Gareth Quinn Redmond,"Dublin, Ireland",Mike McGrath-Bryan
"September 08, 2025",Philip Glass: The Complete Piano Etudes,Vanessa Wagner,Classical,Independent Artist,"Montreuil, France",Jennifer Kelly
"September 05, 2025",The Radiant Radish,Jetski,Electronic,Independent Artist,"Peoria, Illinois",Erick Bradshaw
"September 04, 2025",Love Chant,The Lemonheads,Alternative,Independent Artist,"Boston, Massachusetts",Jude Noel
"September 03, 2025",I Made My House,Eliot Krimsky,Experimental,Independent Artist,"Brooklyn, New York",Matthew Blackwell
"September 02, 2025",Leo Negro,JayWood,Hip-Hop/Rap,Independent Artist,"Montreal, Québec",Filipe Costa
"August 29, 2025",Vanguardia Subterránea: Live at The Village Vanguard,Miguel Zenón Quartet,Jazz,Miguel Zenón,"New York, New York",Britt Robson
"August 28, 2025",The Heat Warps,Modern Nature,Folk,Independent Artist,"Cambridge, UK",Jennifer Kelly
"August 27, 2025",GUSH,Kaitlyn Aurelia Smith,Ambient,Independent Artist,"Los Angeles, California",Ted Davis
"August 26, 2025",The Collapse Of Everything,Adrian Sherwood,Electronic,Independent Artist,UK,April Clare Welsh
"August 25, 2025",Music for Writers,Steve Gunn,Folk,Independent Artist,"Brooklyn, New York",Grayson Haver Currin
"August 22, 2025",It’s A Beautiful Place,Water From Your Eyes,Alternative,Independent Artist,"Brooklyn, New York",Stuart Berman
"August 21, 2025",Cool Down the Heat,Junior Murvin,Reggae,Independent Artist,Jamaica,Jared Proudfoot
"August 20, 2025",CBGB 12.13.88,Galaxie 500,Alternative,Independent Artist,"Boston, Massachusetts",George Grella
"August 19, 2025",Sortilège,Gabe ‘Nandez & Preservation,Hip-Hop/Rap,Gabe &#39;Nandez,"New York, New York",Nadine Smith
"August 18, 2025",Luke’s Garage,Delicate Steve,Alternative,Independent Artist,New Jersey,Elle Carroll
"August 15, 2025",Laurentian Blue and Songs of Hiraeth,Panopticon,Folk,"truepanopticon.bandcamp.com"" data-clickthrough=""Panopticon","Ely, Minnesota",Ben Salmon
"August 14, 2025",Acqua Marina,Prefaces,Jazz,Hisstology,Lebanon,Jim Allen
"August 13, 2025",Utero Dei,Mondo Lava,Experimental,Independent Artist,"Pamplona, Spain",Ted Davis
"August 12, 2025",Anyway,Anamanaguchi,Alternative,Independent Artist,"New York, New York",Eli Schoop
"August 11, 2025",ABOMINATION REVEALED AT LAST,OSEES,Punk,Osees,"Los Angeles, California",Harry Levin
"August 08, 2025",Somewhere Only We Go,Tommy WÁ,Alternative,Independent Artist,"Accra, Ghana",Ted Davis
"August 07, 2025",Bliss,alice does computer music,Experimental,Independent Artist,"New York, New York",Elle Carroll
"August 06, 2025",Grasping For the Moon,Untethered,Jazz,Paul Giess,"Philadelphia, Pennsylvania",Peter Margasak
"August 05, 2025",THE FUTURE IS HERE AND EVERYTHING NEEDS TO BE DESTROYED,The Armed,Punk,Independent Artist,"Detroit, Michigan",Spencer Hughes
"August 04, 2025",The Starrr Of The Queen Of Life,DEBBY FRIDAY,Pop,Independent Artist,"Toronto, Ontario",Rae-Aila Crumble
"August 01, 2025",Ashes That Made The Shape Of My Dreams,𝘮𝘦𝘵𝘳𝘢.𝘷𝘦𝘴𝘵𝘭𝘶𝘥,Electronic,Independent Artist,NA,Ted Davis
"July 31, 2025",Sure Beats Living,Wevie Stonder,Alternative,Independent Artist,UK,Joe Muggs
"July 30, 2025",Louhi,Pharaoh Overlord,Experimental,Independent Artist,"Pori, Finland",JR Moores
"July 29, 2025",Then The Darkness,Grayceon,Metal,Independent Artist,"San Francisco, California",JR Moores
"July 28, 2025","Bitter Sweet, Sweet Bitter",Fortunato Durutti Marinetti,Rock,Independent Artist,"Toronto, Ontario",Stuart Berman
"July 25, 2025",Music for Nitrous Oxide (30 Year Anniversary Remastered),Stars of the Lid,Ambient,Independent Artist,"Brussels, Belgium",Erick Bradshaw
"July 24, 2025",Jittoku ’76,Les Rallizes Dénudés,Experimental,Independent Artist,"Kyoto, Japan",Erick Bradshaw
"July 23, 2025",Tectonic Sound,Various Artists,Electronic,Tectonic Recordings,"Bristol, UK",Joe Muggs
"July 22, 2025",Contacting,Sunmundi & Sasco,Hip-Hop/Rap,Sasco,"Brooklyn, New York",Dylan Green
"July 21, 2025",The Molokai Compendium,Nmesh,Electronic,Independent Artist,"Louisville, Kentucky",Ted Davis
"July 18, 2025",Beside Myself,Dj Haram,Electronic,dj haram,"Brooklyn, New York",Joe Muggs
"July 17, 2025",Flesh Mourning,Re-Buried,Metal,Independent Artist,"Seattle, Washington",Brad Sanders
"July 16, 2025",My Home is Not In This World,Natalie Bergman,R&amp;B/Soul,Independent Artist,"Chicago, Illinois",Jennifer Kelly
"July 15, 2025",Neighborhood Gods Unlimited,Open Mike Eagle,Hip-Hop/Rap,Independent Artist,Los Angeles,Dash Lewis
"July 14, 2025",All Smiles Tonight,Poor Creature,Folk,Independent Artist,NA,Mike McGrath-Bryan
"July 11, 2025",The Fateful Symmetry,Mark Stewart,Alternative,Independent Artist,"Bristol, UK",Jim Allen
"July 10, 2025",Attrition,Slikback,Electronic,Independent Artist,"Nairobi, Kenya",Joseph Francis
"July 09, 2025",State Change,Molly Joyce,Electronic,Independent Artist,"Charlottesville, Virginia",Matthew Blackwell
"July 08, 2025",A Selection Of Music From Libyan Tapes,Various Artists,World,Habibi Funk Records,"Berlin, Germany",Collin Smith
"July 07, 2025",Nadir,Sababa 5,Jazz,Independent Artist,"Paris, France",Tina Edwards
"July 03, 2025",Pantilde,The Worm,Folk,Independent Artist,"Penryn, UK",JR Moores
"July 02, 2025",Late Great,Laura Stevenson,Folk,Independent Artist,New York,Hayden Merrick
"July 01, 2025",Various Artists: Music For A Revolution Vol 1: Guinea’s Syliphone Recording Label (1967-1973),Radio Martiko,World,Independent Artist,Belgium,Matthew Blackwell
"June 30, 2025",Winged Victory,Willi Carlisle,Country,Independent Artist,Missouri,Ben Salmon
"June 27, 2025",Switcheroo,Gelli Haha,Pop,Independent Artist,"Los Angeles, California",Elle Carroll
"June 26, 2025",Sunwise,Brìghde Chaimbeul,Folk,Independent Artist,"Scotland, UK",Michal Wieczorek
"June 25, 2025",R4,Black Sites,Electronic,Tresor Records,"Berlin, Germany",Joe Muggs
"June 24, 2025",The Way of Time,Biosphere,Ambient,Independent Artist,"Tromsø, Norway",Louis Pattison
"June 23, 2025",INFINITY CLUB II,BAMBII,Electronic,Independent Artist,"Toronto, Ontario",April Clare Welsh
"June 20, 2025",do it afraid,Yaya Bey,R&amp;B/Soul,yaya bey,"Brooklyn, New York",Rae-Aila Crumble
"June 18, 2025",My Government Is My Soul,Bourbonese Qualk,Punk,Mannequin Records,Germany,Jim Allen
"June 17, 2025",I Saw The World End (Hangman’s Hymn MMXXV),Sigh,Metal,Peaceville,"London, UK",Brad Sanders
"June 16, 2025",A Room With A Door That Closes,Maiya Blaney,Alternative,Independent Artist,"New York, New York",Fred Pessaro
"June 13, 2025",Phantom Island,King Gizzard & the Lizard Wizard,Rock,King Gizzard &amp; The Lizard Wizard,"Melbourne, Australia",Jude Noel
"June 12, 2025",Island Slang,Lagoss & Abagwagwa,Electronic,Lagoss,"CN, Spain",Ted Davis
"June 11, 2025",Tether,Annahstasia,R&amp;B/Soul,Independent Artist,"Los Angeles, California",Jim Allen
"June 10, 2025","Magic, Alive!",McKinley Dixon,Hip-Hop/Rap,Independent Artist,"Richmond, Virginia",Dylan Green
"June 09, 2025",Los Bosquesinos,Wampís of Guayabal & Aboutface,World,Aboutface,UK,Matthew Blackwell
"June 06, 2025",Ripped and Torn,Lifeguard,Rock,Independent Artist,"Chicago, Illinois",Erick Bradshaw
"June 05, 2025",Faith,Purelink,,Independent Artist,"Brooklyn, New York",Matthew Blackwell
"June 04, 2025","It’s Closeness, It’s Easy",Planning For Burial,Metal,Independent Artist,"Wilkes Barre, Pennsylvania",J. Bennett
"June 03, 2025",Não Estragou Nada,Various Artists,Electronic,Príncipe,"Lisbon, Portugal",Joseph Francis
"June 02, 2025",Chrome Dipped,Civic,Rock,Independent Artist,"Melbourne, Australia",Jennifer Kelly
"May 30, 2025",Possession,Ty Segall,Alternative,Independent Artist,"Los Angeles, California",Collin Smith
"May 29, 2025",Black Hole Superette,Aesop Rock,Hip-Hop/Rap,Independent Artist,NA,Sam Davies
"May 28, 2025",Dubs From the Foundation,Iration Steppas,Reggae,VP Records,"Queens, New York",Andy Thomas
"May 27, 2025",Idolar,Moskito,World,Independent Artist,"Johannesburg, South Africa",Joseph Francis
"May 23, 2025",Instant Holograms On Metal Film,Stereolab,Alternative,Independent Artist,"London, UK",Erick Bradshaw
"May 22, 2025",The Loss,Mares of Thrace,Metal,Mares Of Thrace,"Calgary, Alberta",Grayson Haver Currin
"May 21, 2025",Somnia,Swimming Bell,Alternative,Independent Artist,New York,Jennifer Kelly
"May 20, 2025",Delicious,Alex Paxton,Classical,Independent Artist,"London, UK",Peter Margasak
"May 19, 2025","Mike Vest, & Dave Sneddon, To Be True, Then The Loop Will Run Forever",Kawaguchi Masami 川口雅巳,Rock,WV Sorcerer Productions 巫唱片,France,Jim Allen
"May 16, 2025",Musical Chairs,Artificial Go,Punk,Independent Artist,"Cincinnati, Ohio",Erick Bradshaw
"May 15, 2025",Reflection Of Another Self,Milena Casado,Jazz,Independent Artist,Spain,Matthew Blackwell
"May 14, 2025",pachamami,Dinamarca & Meth Math,Electronic,dinamarca,"Stockholm, Sweden",Joseph Francis
"May 13, 2025",Land’s End Eternal,Cole Pulice,Ambient,Independent Artist,"Oakland, California",Matthew Blackwell
"May 12, 2025",Road Fever: New Generation Carnival Riddims from St. Lucia and Dominica,Various Artists,World,Soundway Records,UK,Maria Barrios
"May 09, 2025",spelewithiipi,Nechochwen,Folk,Independent Artist,West Virginia,Brad Sanders
"May 08, 2025",Sonor,Enji,Jazz,Independent Artist,"Munich, Germany",Shy Clara Thompson
"May 07, 2025",Deserted Palace,Jean-Michel Jarre,Electronic,Transversales Disques,"Paris, France",Jim Allen
