author,reviews,distinct_genres,distinct_countries,indie_share,first_review,latest_review,active_days,genre_entropy_bits
Ashley Naftule,1,1,1,1.0000,2018-09-07,2018-09-07,0,0.000
Barry Walters,1,1,1,1.0000,2024-10-01,2024-10-01,0,0.000
Becca Inglis,1,1,1,1.0000,2024-05-07,2024-05-07,0,0.000
Ben Arthur,1,1,1,1.0000,2024-08-16,2024-08-16,0,0.000
Ben Grenrock,3,3,2,0.6667,2018-03-08,2019-05-20,438,1.585
Ben Salmon,34,10,6,0.6765,2020-06-22,2026-05-20,2158,2.853
Blake Gillespie,17,6,4,0.5882,2017-07-05,2026-03-26,3186,2.146
Brad Cohan,16,6,7,0.6875,2018-06-11,2025-01-09,2404,2.399
Brad Sanders,33,10,8,0.7576,2016-08-01,2026-09-11,3693,2.653
Brandon Stosuy,1,1,1,0.0000,2016-09-29,2016-09-29,0,0.000
Brian Coney,1,1,0,1.0000,2018-04-27,2018-04-27,0,0.000
Briana Younger,1,1,1,1.0000,2018-06-08,2018-06-08,0,0.000
Britt Robson,11,3,4,0.6364,2019-10-15,2026-08-11,2492,0.922
Brittny Pierre,1,1,1,1.0000,2022-05-27,2022-05-27,0,0.000
Caitlin Donohue,2,2,2,1.0000,2019-07-24,2021-10-26,825,1.000
Cameron Cook,1,0,1,0.0000,2017-03-29,2017-03-29,0,
Candace McDuffie,1,1,1,1.0000,2018-08-21,2018-08-21,0,0.000
Carrie McClure,1,1,1,1.0000,2025-10-21,2025-10-21,0,0.000
Casey Jarman,15,7,9,0.6667,2017-01-05,2025-02-27,2975,2.661
Catalina Maria Johnson,2,2,2,1.0000,2018-07-11,2019-04-16,279,1.000
Chaka V. Grier,10,4,2,0.7000,2018-10-17,2021-08-20,1038,1.357
Chal Ravens,1,1,1,1.0000,2020-11-02,2020-11-02,0,0.000
Charlie Zaillian,12,3,4,0.7500,2020-03-12,2022-10-18,950,1.500
Chloe Liebenthal,1,1,1,0.0000,2022-11-10,2022-11-10,0,0.000
Chris Kelly,1,1,0,0.0000,2017-12-12,2017-12-12,0,0.000
Christian Askin,2,2,2,1.0000,2025-10-17,2025-10-27,10,1.000
Christina Lee,5,2,2,0.8000,2018-06-06,2025-05-06,2526,0.722
CJ Simonson,1,1,1,1.0000,2022-01-24,2022-01-24,0,0.000
Claire Lobenfeld,5,4,2,1.0000,2017-08-31,2020-10-16,1142,1.922
Colin Atrophy Hagendorf,1,1,1,0.0000,2017-05-10,2017-05-10,0,0.000
Colin Joyce,2,2,2,0.5000,2022-04-28,2023-05-04,371,1.000
Colin Williams,8,1,3,0.6250,2022-02-03,2023-09-12,586,0.000
Collin Smith,4,3,3,0.7500,2025-03-06,2025-09-22,200,1.500
Corbie Hill,1,1,1,0.0000,2017-11-27,2017-11-27,0,0.000
Cory Lomberg,1,1,1,1.0000,2017-05-02,2017-05-02,0,0.000
D.L. Chandler,1,0,1,0.0000,2016-07-20,2016-07-20,0,
Daniel Dylan Wray,5,4,2,0.6000,2018-02-22,2024-10-31,2443,1.922
Danny Riley,1,0,1,0.0000,2016-07-11,2016-07-11,0,
Dash Lewis,26,2,4,0.5385,2023-04-25,2026-08-18,1211,0.235
Dave Jenkins,1,1,1,1.0000,2022-04-22,2022-04-22,0,0.000
Dave Sumner,3,1,2,0.3333,2018-07-30,2021-05-28,1033,0.000
David Anthony,1,1,1,1.0000,2019-07-31,2019-07-31,0,0.000
David Garber,4,1,4,0.5000,2017-12-04,2018-07-03,211,0.000
David Glickman,1,1,1,1.0000,2018-08-20,2018-08-20,0,0.000
David Menestres,1,1,1,0.0000,2019-06-11,2019-06-11,0,0.000
David R. Adler,2,2,2,0.5000,2019-04-23,2019-05-07,14,1.000
David Sackllah,1,0,1,1.0000,2016-07-25,2016-07-25,0,
David Turner,1,0,1,0.0000,2017-02-08,2017-02-08,0,
Dean Van Nguyen,39,11,15,0.4103,2016-11-14,2026-05-05,3459,2.754
Devon Leger,3,2,2,0.3333,2025-01-08,2026-06-01,509,0.918
Diamond Sharp,8,6,3,0.5000,2019-06-03,2019-11-25,175,2.500
Doug Wallen,6,3,2,0.6667,2017-04-21,2018-12-06,594,1.252
Drew Fortune,3,0,1,1.0000,2016-10-05,2017-01-17,104,
Dusty Henry,2,2,1,1.0000,2026-08-25,2026-09-08,14,1.000
Dylan Green,9,2,2,0.5556,2024-03-13,2026-09-21,922,0.503
ea. osei,1,1,1,1.0000,2025-02-19,2025-02-19,0,0.000
Ed Blair,7,4,2,0.1429,2018-04-23,2022-03-01,1408,1.950
Eli Enis,5,2,1,0.8000,2017-12-05,2020-06-17,925,0.811
Eli Schoop,23,9,8,0.6087,2020-03-18,2026-07-15,2310,2.927
Eli Zeger,1,1,1,0.0000,2019-07-08,2019-07-08,0,0.000
Elisabeth Vincentelli,1,0,1,1.0000,2017-03-28,2017-03-28,0,
Elle Carroll,49,9,13,0.7959,2021-02-11,2026-05-08,1912,2.469
Emma August Welter,1,1,1,0.0000,2019-05-17,2019-05-17,0,0.000
Eric Luecking,1,0,1,0.0000,2016-09-08,2016-09-08,0,
Eric R. Danton,4,2,2,1.0000,2017-05-08,2018-11-13,554,0.811
Erick Bradshaw,21,8,5,0.7143,2024-07-01,2026-06-08,707,2.804
Erika Szabo,1,0,1,1.0000,2016-07-14,2016-07-14,0,
Erin Lyndal Martin,5,3,3,0.8000,2016-11-16,2025-01-16,2983,1.500
Erin Margaret Day,6,5,1,0.8333,2021-01-26,2022-08-08,559,2.252
Erin Williams,1,1,1,0.0000,2017-06-28,2017-06-28,0,0.000
Ethan Beck,2,2,1,0.5000,2021-05-21,2023-02-14,634,1.000
Fergal Kenney,1,1,1,0.0000,2018-08-31,2018-08-31,0,0.000
Filipe Costa,2,2,2,1.0000,2024-12-03,2025-09-02,273,1.000
Fred Pessaro,3,3,2,0.6667,2024-08-13,2025-06-16,307,1.585
Gabriel Serrano Denis,1,1,1,0.0000,2018-11-07,2018-11-07,0,0.000
George Grella,11,6,5,0.6364,2024-06-24,2026-07-01,737,2.482
Grayson Haver Currin,25,6,7,0.6000,2019-02-14,2026-01-29,2541,2.015
Gus Navarro,2,2,1,1.0000,2018-11-19,2019-02-05,78,1.000
Harley Oliver Brown,1,1,1,0.0000,2019-03-13,2019-03-13,0,0.000
Harry Levin,4,4,2,0.5000,2025-08-11,2026-03-16,217,2.000
Hayden Merrick,11,5,3,0.7273,2022-08-02,2026-08-31,1490,2.187
Henry Ivry,1,1,1,1.0000,2023-03-15,2023-03-15,0,0.000
Ian Cohen,2,1,2,0.5000,2016-07-29,2019-06-06,1042,0.000
Ian Hsieh,2,1,2,1.0000,2017-09-22,2017-10-17,25,0.000
Isabelle Tolhurst,1,1,1,0.0000,2018-03-01,2018-03-01,0,0.000
J. Bennett,10,3,3,0.6000,2018-03-19,2026-09-16,3103,0.922
J. Edward Keyes,54,10,10,0.6852,2016-06-17,2023-07-26,2595,2.601
Jacopo Sanna,2,2,2,0.5000,2018-02-06,2018-05-03,86,1.000
Jaelani Turner-Williams,2,0,1,0.5000,2023-05-26,2023-07-07,42,
Jake Hulyer,4,2,3,0.7500,2017-10-24,2019-07-30,644,0.811
James Factora,1,1,1,1.0000,2020-05-18,2020-05-18,0,0.000
James Gui,36,7,12,0.5833,2021-08-04,2026-08-12,1834,2.029
Jamie Ludwig,1,1,1,1.0000,2019-03-26,2019-03-26,0,0.000
Jared Proudfoot,3,2,3,0.6667,2023-10-24,2025-08-21,667,0.918
Jay Balfour,3,2,1,1.0000,2017-07-26,2018-12-20,512,0.918
Jeff Terich,7,3,2,0.7143,2017-02-09,2022-03-08,1853,1.371
Jeff Treppel,2,2,2,0.5000,2017-08-16,2019-06-24,677,1.000
Jeffrey Silverstein,1,0,1,1.0000,2017-02-15,2017-02-15,0,
Jenn Pelly,2,2,1,1.0000,2019-02-06,2019-04-17,70,1.000
Jennifer Kelly,28,11,6,0.8214,2016-10-28,2026-09-09,3603,3.128
Jerry Cowgill,2,1,2,1.0000,2019-04-29,2019-05-22,23,0.000
Jess Fu,1,1,1,1.0000,2020-08-13,2020-08-13,0,0.000
Jesse Bernard,4,4,2,0.2500,2018-11-02,2024-07-22,2089,2.000
Jesse Fairfax,5,2,3,0.4000,2016-10-21,2018-09-28,707,0.918
Jesse Locke,19,9,6,0.7895,2020-01-14,2024-05-02,1570,2.713
Jessica Lipsky,1,1,1,0.0000,2021-01-04,2021-01-04,0,0.000
Jim Allen,43,13,9,0.6279,2018-02-02,2026-09-10,3142,3.258
Jimmy Trash,1,1,1,0.0000,2026-06-22,2026-06-22,0,0.000
Jinhyung Kim,2,2,1,0.5000,2022-06-03,2025-11-24,1270,1.000
JJ Skolnik,17,4,5,0.5882,2017-01-23,2022-04-19,1912,1.418
Joe Bucciero,4,3,3,0.2500,2018-01-31,2018-05-29,118,1.500
Joe Darling,15,5,4,0.7333,2016-08-02,2018-03-05,580,2.059
Joe Gross,5,3,3,0.6000,2017-05-11,2018-07-24,439,1.371
Joe Muggs,39,7,15,0.6667,2018-05-02,2026-09-03,3046,1.526
John Morrison,110,15,12,0.6000,2017-03-02,2024-07-10,2687,3.146
John Thorp,1,1,0,0.0000,2019-03-06,2019-03-06,0,0.000
Jon Buckland,4,4,2,0.5000,2024-08-28,2026-09-23,756,2.000
Jon Dale,7,4,5,0.8571,2024-04-02,2025-11-18,595,1.842
Jon Wiederhorn,2,1,1,0.5000,2018-07-18,2023-01-13,1640,0.000
Jonah Bromwich,2,1,1,1.0000,2017-02-24,2017-07-17,143,0.000
Jonathan Bernstein,12,4,4,0.8333,2016-08-17,2018-02-13,545,1.918
Jonathan Williger,3,3,2,1.0000,2020-01-13,2022-03-14,791,1.585
Jordan Commandeur,1,1,1,0.0000,2020-04-06,2020-04-06,0,0.000
Jordan Reyes,13,4,7,0.6154,2018-01-05,2020-03-10,795,1.753
Joseph Francis,9,3,7,0.5556,2024-07-09,2025-11-20,499,1.224
Joseph Gentile,1,1,1,0.0000,2021-08-13,2021-08-13,0,0.000
Joseph Schafer,3,2,3,1.0000,2019-09-10,2021-01-21,499,0.918
Josh Feola,7,3,5,0.5714,2021-01-25,2026-02-18,1850,1.557
Joshua Minsoo Kim,6,4,3,0.6667,2019-01-04,2023-03-31,1547,1.922
JR Moores,13,5,6,0.7692,2017-03-09,2026-06-18,3388,2.055
Jude Noel,22,5,5,0.6818,2021-10-21,2026-09-04,1779,2.084
Judy Berman,1,0,1,1.0000,2016-09-02,2016-09-02,0,
Julie Landers,1,1,1,1.0000,2024-05-22,2024-05-22,0,0.000
Karen Gwee,1,1,1,0.0000,2018-06-28,2018-06-28,0,0.000
Katie Kurtz,2,1,1,1.0000,2022-11-15,2023-11-22,372,0.000
Katrina Nattress,2,2,2,0.5000,2017-11-13,2018-01-09,57,1.000
Katy Henriksen,4,2,2,1.0000,2016-11-21,2017-11-29,373,0.918
Kerry Cardoza,17,2,3,0.5294,2018-05-22,2023-08-01,1897,0.672
Kim Kelly,3,2,1,0.6667,2018-11-15,2020-03-06,477,0.918
Kira Grunenberg,1,0,1,1.0000,2016-08-18,2016-08-18,0,
Kristan J. Caryl,1,0,1,0.0000,2017-01-24,2017-01-24,0,
Kurt Orzeck,2,2,1,0.5000,2026-07-23,2026-07-27,4,1.000
Larry Fitzmaurice,1,1,1,0.0000,2021-02-24,2021-02-24,0,0.000
Laura Studarus,3,1,2,0.6667,2017-03-08,2018-04-12,400,0.000
Lauren Rearick,1,0,1,1.0000,2017-02-20,2017-02-20,0,
Leah B. Levinson,3,3,1,1.0000,2022-08-31,2023-04-05,217,1.585
Lee Zimmerman,1,1,1,0.0000,2017-05-09,2017-05-09,0,0.000
Leor Galil,1,0,1,0.0000,2016-06-24,2016-06-24,0,
Lewis Gordon,8,3,4,0.6250,2020-11-13,2026-08-04,2090,1.299
Liz Ohanesian,2,2,2,1.0000,2021-02-03,2025-02-21,1479,1.000
Liz Pelly,1,1,1,1.0000,2017-10-31,2017-10-31,0,0.000
Loren DiBlasi,1,1,1,1.0000,2019-08-08,2019-08-08,0,0.000
Lorena Cupcake,1,1,1,0.0000,2020-03-23,2020-03-23,0,0.000
Louis Pattison,14,5,7,0.9286,2016-06-15,2026-07-20,3687,2.040
Luke Jackson,7,2,6,0.5714,2026-02-13,2026-08-10,178,0.592
Luke Ottenhof,7,4,2,1.0000,2017-07-11,2019-09-24,805,1.792
Marc Masters,15,7,4,0.4667,2017-03-27,2023-08-15,2332,2.442
Marcus J. Moore,38,7,7,0.4211,2016-08-30,2021-11-04,1892,1.996
Marcus K. Dowling,1,0,1,0.0000,2016-09-20,2016-09-20,0,
Margaret Farrell,3,2,3,1.0000,2019-07-19,2020-11-05,475,0.918
Maria Barrios,16,9,8,0.6250,2021-06-16,2026-04-14,1763,2.923
Maria Sherman,4,1,3,0.5000,2016-07-07,2017-11-21,502,0.000
Mariana Timony,28,5,5,0.7143,2016-10-31,2023-03-24,2335,2.071
Mark Richardson,3,2,2,1.0000,2019-10-21,2020-09-09,324,1.000
Marshall Gu,6,5,5,0.6667,2021-07-07,2026-08-27,1877,2.252
Martin Aston,1,1,1,1.0000,2018-09-14,2018-09-14,0,0.000
Martin Douglas,8,2,1,0.6250,2026-03-17,2026-09-22,189,0.592
Marvin Lin,2,0,1,0.5000,2016-08-19,2016-08-31,12,
Matt Mitchell,3,3,1,1.0000,2021-11-03,2021-12-09,36,1.585
Matt Voracek,2,2,1,1.0000,2017-04-18,2017-08-04,108,1.000
Matt Watton,1,1,1,1.0000,2025-11-17,2025-11-17,0,0.000
Matthew Blackwell,23,8,8,0.5652,2023-02-09,2026-07-29,1266,2.482
Matthew Ismael Ruiz,3,2,2,0.6667,2020-02-28,2026-01-14,2147,0.918
Matthew Schnipper,1,1,1,1.0000,2021-10-15,2021-10-15,0,0.000
Maura Johnston,3,0,1,0.6667,2016-06-22,2017-02-07,230,
Max Bell,9,3,3,0.4444,2017-06-12,2021-09-23,1564,1.530
Max Cohen,2,2,1,0.5000,2019-07-25,2020-10-08,441,1.000
Max Freedman,4,1,3,1.0000,2018-05-14,2020-03-17,673,0.000
Max Mertens,2,2,1,0.5000,2018-03-30,2020-09-28,913,1.000
Max Mohenu,2,1,1,1.0000,2017-01-12,2018-07-25,559,0.000
Max Savage Levenson,33,7,4,0.8182,2016-06-29,2021-02-26,1703,2.279
Megan Iacobini de Fazio,29,9,18,0.4828,2018-09-13,2026-04-09,2765,2.004
Mercy Kassa,5,1,3,0.8000,2022-07-21,2023-02-23,217,0.000
Meredith Lawrence,2,2,1,1.0000,2024-10-15,2024-11-04,20,1.000
Michael Berdan,2,0,1,0.5000,2016-07-19,2017-03-01,225,
Michael Hill,1,0,1,1.0000,2017-01-13,2017-01-13,0,
Michael J. West,27,4,4,0.4444,2018-05-16,2026-06-04,2941,0.945
Michael Lawson,1,1,1,0.0000,2022-09-27,2022-09-27,0,0.000
Michael Penn,1,0,1,1.0000,2023-04-28,2023-04-28,0,
Michael Rancic,2,1,1,1.0000,2020-08-05,2021-06-17,316,0.000
Michael Siebert,3,2,1,1.0000,2018-08-30,2018-09-26,27,0.918
Michaelangelo Matos,8,1,2,0.8750,2016-08-05,2020-03-30,1333,0.000
Michal Wieczorek,6,4,3,0.5000,2024-09-10,2026-07-31,689,1.792
Miguel Gallego,1,1,1,1.0000,2019-09-05,2019-09-05,0,0.000
Mike Madden,2,1,1,0.0000,2019-10-10,2020-02-05,118,0.000
Mike McGrath-Bryan,9,5,4,0.6667,2024-05-10,2026-06-24,775,2.059
Mike Steyels,1,1,1,1.0000,2026-07-30,2026-07-30,0,0.000
Miles Bowe,33,5,12,0.6970,2018-09-05,2022-11-28,1545,1.971
Mo Wilson,1,1,1,1.0000,2017-07-07,2017-07-07,0,0.000
Mosi Reeves,1,0,1,1.0000,2016-08-10,2016-08-10,0,
Nadine Smith,10,4,3,0.7000,2021-09-21,2025-08-19,1428,1.549
Natalie Marlin,1,1,1,1.0000,2023-05-03,2023-05-03,0,0.000
Nate Patrin,15,4,4,0.6667,2016-06-23,2020-04-24,1401,1.357
Natelegé Whaley,2,2,1,1.0000,2021-06-14,2021-06-25,11,1.000
Ned Raggett,16,5,8,0.6250,2017-02-27,2023-06-29,2313,1.370
Nereya Otieno,1,1,1,0.0000,2026-09-24,2026-09-24,0,0.000
Nick DeMasi,1,1,1,0.0000,2026-08-03,2026-08-03,0,0.000
Nick Fulton,1,1,1,1.0000,2017-08-09,2017-08-09,0,0.000
Nick Williams,1,0,1,1.0000,2016-06-16,2016-06-16,0,
Nicolas-Tyrell Scott,1,1,1,1.0000,2022-08-24,2022-08-24,0,0.000
Niko Stratis,1,1,1,1.0000,2023-09-06,2023-09-06,0,0.000
Nilina Mason-Campbell,3,3,3,0.6667,2019-09-25,2020-03-05,162,1.585
Nina Corcoran,3,2,2,0.6667,2019-05-03,2021-08-02,822,0.918
Nnamdi Bawsism,7,0,5,0.8571,2016-07-15,2016-12-20,158,
Noah Berlatsky,11,8,7,0.6364,2017-05-01,2018-02-27,302,2.914
Oli Warwick,1,0,1,0.0000,2026-05-21,2026-05-21,0,
Pat Pilch,1,1,1,1.0000,2024-02-22,2024-02-22,0,0.000
Patrick Jarenwattananon,3,1,2,0.3333,2017-06-22,2018-02-23,246,0.000
Patrick King,3,3,1,1.0000,2022-10-24,2023-11-29,401,1.585
Patrick Lyons,3,2,3,0.6667,2019-03-11,2020-11-16,616,0.918
Patrick Rapa,4,2,1,0.5000,2017-04-17,2019-09-03,869,0.811
Patrick St. Michel,7,4,3,0.4286,2018-01-23,2026-09-14,3156,1.950
Paul Thompson,1,1,1,1.0000,2018-08-22,2018-08-22,0,0.000
Peter Holslin,1,0,1,1.0000,2018-06-18,2018-06-18,0,
Peter Lillis,2,2,1,1.0000,2017-04-26,2017-09-21,148,1.000
Peter Margasak,27,9,7,0.6296,2016-09-09,2026-02-05,3436,2.856
Phil E. Bloomfield,2,2,2,0.5000,2021-06-11,2024-06-13,1098,1.000
Philip Freeman,7,3,3,0.4286,2019-03-07,2023-04-14,1499,1.371
Philip Sherburne,4,1,3,0.2500,2016-08-08,2018-05-11,641,0.000
Phillip Mlynar,39,5,6,0.6410,2018-02-07,2024-02-21,2205,1.204
Phillipe Roberts,1,1,1,1.0000,2023-06-08,2023-06-08,0,0.000
Piotr Orlov,8,7,3,0.7500,2022-01-06,2023-04-04,453,2.750
Rachel Davies,2,1,1,1.0000,2019-11-06,2021-01-14,435,0.000
Rae-Aila Crumble,3,3,2,0.3333,2025-06-20,2026-08-17,423,1.585
Raphael Helfand,1,1,1,1.0000,2021-07-23,2021-07-23,0,0.000
Ravi Ghosh,1,1,1,0.0000,2020-08-27,2020-08-27,0,0.000
Raymond Cummings,6,2,1,1.0000,2017-06-19,2018-07-12,388,0.722
Rebecca Bodenheimer,3,3,3,1.0000,2021-09-09,2024-03-01,904,1.585
Richard Gehr,12,5,7,0.5000,2016-07-27,2020-11-24,1581,1.771
Richard Villegas,22,10,8,0.6364,2020-05-12,2026-08-07,2278,2.863
Richardine Bartee,1,1,1,0.0000,2017-08-01,2017-08-01,0,0.000
Robert Ham,5,3,2,0.6000,2016-10-11,2021-07-08,1731,1.500
Robert Newsome,3,3,2,0.6667,2020-08-04,2024-08-05,1462,1.585
Robert Rubsam,2,1,1,1.0000,2019-01-23,2019-11-04,285,0.000
Robert Whitfield,1,0,1,1.0000,2017-03-15,2017-03-15,0,
Ron Hart,2,2,2,1.0000,2017-04-12,2017-08-30,140,1.000
Ross Devlin,1,0,1,0.0000,2017-03-06,2017-03-06,0,
Ruth Jiang,6,3,2,1.0000,2021-09-10,2023-01-27,504,1.500
Saby Reyes-Kulkarni,11,5,4,0.8182,2017-03-21,2024-02-01,2508,2.250
Sam Davies,3,3,1,0.3333,2025-05-29,2026-09-02,461,1.585
Sam Goldner,6,3,3,0.5000,2018-06-07,2023-05-17,1805,1.252
Sam Lefebvre,4,2,3,0.7500,2016-07-06,2017-08-23,413,1.000
Sam McLemore,2,2,2,0.5000,2021-09-20,2022-05-25,247,1.000
Sam Sodomsky,2,1,1,0.5000,2024-05-23,2024-06-14,22,0.000
Samuel Tornow,3,2,3,0.6667,2020-04-22,2022-01-12,630,0.918
Sarah Gooding,2,2,1,0.5000,2019-11-26,2020-04-17,143,1.000
Sarah Kitteringham,4,1,3,0.0000,2018-04-13,2022-06-10,1519,0.000
Sarah O'Neal,2,2,2,0.5000,2025-09-18,2026-05-04,228,1.000
Sasha Geffen,6,4,3,0.8333,2018-04-30,2021-10-27,1276,1.792
Scott Murry,1,1,1,0.0000,2017-08-07,2017-08-07,0,0.000
Sean Keating,2,2,1,0.5000,2020-01-30,2020-04-23,84,1.000
Seth Colter Walls,1,1,1,1.0000,2018-08-13,2018-08-13,0,0.000
Shane Burley,1,1,1,0.0000,2024-02-23,2024-02-23,0,0.000
Shanice Brim,3,2,3,1.0000,2019-03-27,2019-05-21,55,0.918
Shannon Nico Shreibak,3,2,2,1.0000,2021-05-24,2023-06-06,743,0.918
Shaun Brady,4,2,2,0.5000,2024-09-24,2026-08-20,695,0.811
Shawna Kenney,1,0,1,1.0000,2016-12-13,2016-12-13,0,
Shy Clara Thompson,20,7,8,0.5000,2021-04-07,2025-05-08,1492,2.594
Sim Jackson,1,1,1,1.0000,2021-02-23,2021-02-23,0,0.000
Simon Chandler,10,3,5,0.4000,2016-07-26,2019-04-18,996,1.500
Sims Hardin,3,2,1,1.0000,2023-05-18,2025-11-05,902,0.918
Sophie Kemp,1,0,1,1.0000,2017-01-02,2017-01-02,0,
Sophie Weiner,2,1,2,1.0000,2016-08-12,2020-04-27,1354,0.000
Spencer Hughes,15,6,4,1.0000,2022-06-24,2026-09-15,1544,2.146
Stephen M. Deusner,1,1,1,1.0000,2017-05-24,2017-05-24,0,0.000
Stephen Thomas Erlewine,1,1,1,0.0000,2019-04-19,2019-04-19,0,0.000
Steven Edelstone,1,1,1,1.0000,2017-06-15,2017-06-15,0,0.000
Stewart Smith,3,2,1,0.6667,2022-09-22,2025-01-22,853,0.918
Stuart Berman,9,2,5,0.7778,2019-05-13,2026-04-01,2515,0.764
Su Baykal,1,1,1,0.0000,2017-08-03,2017-08-03,0,0.000
Summer Kim Lee,1,1,1,1.0000,2016-06-13,2016-06-13,0,0.000
Sunik Kim,3,3,3,0.6667,2021-04-02,2022-06-02,426,1.585
Sylvia Ilahuka,1,1,1,1.0000,2020-04-15,2020-04-15,0,0.000
Tara C. Mahadevan,5,3,2,0.8000,2019-11-08,2020-10-20,347,1.500
Tasha Viets-VanLear,8,4,2,0.8750,2022-02-10,2022-09-09,211,1.842
Taylor Ruckle,1,1,1,1.0000,2025-01-21,2025-01-21,0,0.000
Tayyab Amin,1,1,1,1.0000,2021-10-06,2021-10-06,0,0.000
Ted Davis,38,5,10,0.6316,2022-03-30,2026-07-09,1562,2.006
Tess Duncan,2,1,1,1.0000,2016-08-15,2017-05-15,273,0.000
Thomas Hobbs,2,1,2,0.0000,2024-06-11,2024-06-28,17,0.000
Tina Edwards,2,1,2,0.5000,2017-11-01,2025-07-07,2805,0.000
Tracy Jones,1,1,1,0.0000,2019-09-13,2019-09-13,0,0.000
Tristan Bath,2,2,1,0.5000,2018-06-27,2020-02-03,586,1.000
Valerie Veteto,1,0,1,1.0000,2016-07-28,2016-07-28,0,
Vance Brinkley,2,2,1,1.0000,2019-03-15,2021-09-16,916,1.000
Vanessa Ague,12,3,5,0.7500,2021-01-15,2023-07-13,909,1.322
Vrinda Jagota,1,1,1,1.0000,2024-03-26,2024-03-26,0,0.000
Whitney Phaneuf,1,0,1,0.0000,2016-07-08,2016-07-08,0,
Will Ainsley,26,10,9,0.8077,2023-07-10,2026-08-24,1141,3.013
Will Pritchard,5,3,2,0.8000,2020-05-21,2022-09-23,855,1.371
Will Schube,19,8,5,0.7895,2017-02-02,2020-05-07,1190,2.725
Winston Cook-Wilson,1,0,1,1.0000,2016-10-19,2016-10-19,0,
Yoni Kroll,1,1,1,1.0000,2022-12-01,2022-12-01,0,0.000
Zach Lipez,1,1,1,0.0000,2021-10-11,2021-10-11,0,0.000
Zachary Goldsmith,4,1,3,0.5000,2016-09-14,2017-11-20,432,0.000
Zachary Lipez,3,3,2,1.0000,2018-10-05,2020-03-04,516,1.585
Zara Hedderman,2,1,2,1.0000,2026-03-25,2026-06-26,93,0.000
Zoë Beery,1,1,1,1.0000,2017-08-25,2017-08-25,0,0.000
Zoe Camp,7,4,3,0.5714,2018-05-17,2019-08-19,459,1.664
